Month,Day,Low,High,NormalLow,NormalHigh,RecordLow,LowYr,RecordHigh,HiYear,Precip,RecordPrecip,PrecipYr,date,dateInYear,Record,RecordText,RecordP,CulmPrec
6,6,56,61,52,69,46,1963,88,1983,0,0.6,1988,2011-06-06,157,FALSE,,FALSE,0.97
6,7,53,67,52,69,45,1954,89,1979,0,0.12,2000,2011-06-07,158,FALSE,,FALSE,0.97
6,8,54,67,52,69,47,1982,98,1973,0,0.6,1964,2011-06-08,159,FALSE,,FALSE,0.97
6,9,51,69,52,69,47,1963,91,1986,0,0.15,2005,2011-06-09,160,FALSE,,FALSE,0.97
6,10,53,63,53,70,47,1972,94,1994,0,0.03,2009,2011-06-10,161,FALSE,,FALSE,0.97
6,11,52,60,53,70,46,1956,88,1985,0,0.05,1950,2011-06-11,162,FALSE,,FALSE,0.97
6,12,52,66,53,70,47,1968,88,2010,0,0.04,1954,2011-06-12,163,FALSE,,FALSE,0.97
6,13,53,65,53,70,48,1968,95,1966,0,0.01,2009,2011-06-13,164,FALSE,,FALSE,0.97
6,14,51,76,53,70,49,1982,106,1961,0,0.06,1995,2011-06-14,165,FALSE,,FALSE,0.97
6,15,53,71,53,70,48,1952,95,1976,0,0.19,1995,2011-06-15,166,FALSE,,FALSE,0.97
6,16,52,68,53,70,46,1952,90,1961,0,0.35,1995,2011-06-16,167,FALSE,,FALSE,0.97
6,17,51,71,53,70,44,1954,95,1993,0,0,NA,2011-06-17,168,FALSE,,FALSE,0.97
6,18,52,69,53,70,44,1952,88,1981,0,0.14,1974,2011-06-18,169,FALSE,,FALSE,0.97
6,19,53,79,53,70,45,1955,92,1962,0,0,NA,2011-06-19,170,FALSE,,FALSE,0.97
6,20,57,90,53,70,49,1953,96,2008,0,0.01,1951,2011-06-20,171,FALSE,,FALSE,0.97
6,21,54,86,53,70,46,1953,94,1973,0,0,NA,2011-06-21,172,FALSE,,FALSE,0.97
6,22,52,68,53,70,47,1953,98,1989,0,0,NA,2011-06-22,173,FALSE,,FALSE,0.97
6,23,53,66,53,70,49,1984,94,1976,0,0,NA,2011-06-23,174,FALSE,,FALSE,0.97
6,24,52,70,53,71,46,1955,97,1976,0,0.04,1975,2011-06-24,175,FALSE,,FALSE,0.97
6,25,52,65,54,71,44,1950,96,1993,0,0.1,2001,2011-06-25,176,FALSE,,FALSE,0.97
6,26,53,69,54,71,45,1950,96,2003,0,0,NA,2011-06-26,177,FALSE,,FALSE,0.97
6,27,53,65,54,71,48,1965,97,2003,0,0.05,1991,2011-06-27,178,FALSE,,FALSE,0.97
6,28,55,62,54,71,46,1954,94,1976,0.52,0.52,2011,2011-06-28,179,FALSE,,TRUE,1.49
6,29,54,64,54,71,48,1963,87,1959,0,0.2,1992,2011-06-29,180,FALSE,,FALSE,1.49
6,30,53,69,54,71,44,1949,92,1996,0,0.06,1997,2011-06-30,181,FALSE,,FALSE,1.49
7,1,54,80,54,71,46,1949,99,1985,0,0.01,1980,2011-07-01,182,FALSE,,FALSE,0
7,2,53,70,54,71,47,1954,97,1970,0,0.35,1977,2011-07-02,183,FALSE,,FALSE,0
7,3,56,84,54,71,48,1953,89,1970,0,0.01,1955,2011-07-03,184,FALSE,,FALSE,0
7,4,55,69,54,71,46,1954,85,1973,0,0,NA,2011-07-04,185,FALSE,,FALSE,0
7,5,52,78,54,71,48,1965,81,1981,0,0,NA,2011-07-05,186,FALSE,,FALSE,0
7,6,52,70,54,71,47,1953,86,1957,0,0,NA,2011-07-06,187,FALSE,,FALSE,0
7,7,53,69,54,71,49,1955,85,1985,0,0,NA,2011-07-07,188,FALSE,,FALSE,0
7,8,53,72,54,71,48,1951,90,1985,0,0.23,1974,2011-07-08,189,FALSE,,FALSE,0
7,9,52,66,54,71,47,1953,94,1959,0,0.01,1945,2011-07-09,190,FALSE,,FALSE,0
7,10,53,69,54,71,47,1953,97,1959,0,0,NA,2011-07-10,191,FALSE,,FALSE,0
7,11,53,63,54,71,48,1998,93,1983,0,0,NA,2011-07-11,192,FALSE,,FALSE,0
7,12,54,65,54,71,47,1950,88,1983,0,0,NA,2011-07-12,193,FALSE,,FALSE,0
7,13,55,61,54,71,49,1981,97,1972,0,0,NA,2011-07-13,194,FALSE,,FALSE,0
7,14,55,63,54,71,48,1950,98,1972,0,0,NA,2011-07-14,195,FALSE,,FALSE,0
7,15,55,64,54,71,49,1962,93,1995,0,0.13,1975,2011-07-15,196,FALSE,,FALSE,0
7,16,56,70,55,71,49,1949,87,1988,0,0.01,1990,2011-07-16,197,FALSE,,FALSE,0
